"state","correlation","correlation_type"
"Aguascalientes",0.602630470450632,"Weak Positive Correlation"
"Baja California",0.141953645168593,"Weak Positive Correlation"
"Baja California Sur",-0.214489928824193,"Weak Negative Correlation"
"CDMX",0.503549586084557,"Weak Positive Correlation"
"Campeche",0.817381275886282,"Strong Positive Correlation"
"Chiapas",-0.608376471796834,"Weak Negative Correlation"
"Chihuahua",0.48440069495266,"Weak Positive Correlation"
"Coahuila",0.413317857036506,"Weak Positive Correlation"
"Colima",0.629284290345417,"Weak Positive Correlation"
"Durango",-0.600640868602596,"Weak Negative Correlation"
"Estado de Mexico",0.686940617821283,"Weak Positive Correlation"
"Guanajuato",0.790182673943266,"Strong Positive Correlation"
"Guerrero",-0.439798907292737,"Weak Negative Correlation"
"Hidalgo",0.606735856685542,"Weak Positive Correlation"
"Jalisco",-0.0283830716065828,"Weak Negative Correlation"
"Michoacan",0.633805414679751,"Weak Positive Correlation"
"Morelos",-0.00117560137756634,"Weak Negative Correlation"
"Nayarit",0.76881522654572,"Strong Positive Correlation"
"Nuevo Leon",0.674080531808527,"Weak Positive Correlation"
"Oaxaca",0.508486613415556,"Weak Positive Correlation"
"Puebla",0.594984105131462,"Weak Positive Correlation"
"Queretaro",0.604962899224177,"Weak Positive Correlation"
"Quintana Roo",0.816336854408575,"Strong Positive Correlation"
"San Luis Potosi",0.859449902192269,"Strong Positive Correlation"
"Sinaloa",0.71730716366949,"Strong Positive Correlation"
"Sonora",0.263904851446148,"Weak Positive Correlation"
"Tabasco",-0.591633980178599,"Weak Negative Correlation"
"Tamaulipas",-0.340635064017915,"Weak Negative Correlation"
"Tlaxcala",-0.701226098580855,"Strong Negative Correlation"
"Veracruz",0.553636214593223,"Weak Positive Correlation"
"Yucatan",-0.801271780107897,"Strong Negative Correlation"
"Zacatecas",0.813744760007365,"Strong Positive Correlation"
